LOCATION,IF_INCLUDE,IF_NAME_ERROR,STATE,COMFIRMED_COMFIRMED,ADDED,DEATH,DEATH_ADDED,CONCA,GEOID,Pop,HospitalBeds
St. Bernard,0,#N/A,Louisiana,15,2,0,,St. Bernard Louisiana,22087,35897,0
St. Charles,0,#N/A,Louisiana,15,7,0,,St. Charles Louisiana,22089,52780,59
Lafourche,0,#N/A,Louisiana,15,3,0,,Lafourche Louisiana,22057,96318,203
Terrebonne,0,#N/A,Louisiana,14,2,0,,Terrebonne Louisiana,22109,111860,367
Bossier,0,#N/A,Louisiana,12,7,0,,Bossier Louisiana,22015,116979,404
Unassigned,2,#N/A,Louisiana,11,,0,,Unassigned Louisiana,#N/A,#N/A,#N/A
Iberville,0,#N/A,Louisiana,10,8,0,,Iberville Louisiana,22047,33387,0
Lafayette,0,#N/A,Louisiana,9,3,0,,Lafayette Louisiana,22055,221578,1110
Ouachita,0,#N/A,Louisiana,9,5,1,1,Ouachita Louisiana,22073,153720,679
St. James,0,#N/A,Louisiana,8,7,1,,St. James Louisiana,22093,22102,20
Rapides,0,#N/A,Louisiana,8,5,1,1,Rapides Louisiana,22079,131613,906
Plaquemines,0,#N/A,Louisiana,8,3,0,,Plaquemines Louisiana,22075,23042,0
Livingston,0,#N/A,Louisiana,5,3,0,,Livingston Louisiana,22063,128026,59
De Soto,0,#N/A,Louisiana,5,3,0,,De Soto Louisiana,22031,26656,0
West Baton Rouge,0,#N/A,Louisiana,5,2,1,1,West Baton Rouge Louisiana,22121,23788,0
Calcasieu,0,#N/A,Louisiana,4,,0,,Calcasieu Louisiana,22019,192768,690
Iberia,0,#N/A,Louisiana,3,1,0,,Iberia Louisiana,22045,73240,211
St. Landry,0,#N/A,Louisiana,3,,0,,St. Landry Louisiana,22097,83384,360
Webster,0,#N/A,Louisiana,3,2,1,1,Webster Louisiana,22119,41207,196
Tangipahoa,0,#N/A,Louisiana,3,,0,,Tangipahoa Louisiana,22105,121097,404
Lincoln,0,#N/A,Louisiana,2,2,0,,Lincoln Louisiana,22061,46735,146
Washington,0,#N/A,Louisiana,2,,1,1,Washington Louisiana,22117,47168,25
Richland,0,#N/A,Louisiana,2,2,0,,Richland Louisiana,22083,20725,56
Evangeline,0,#N/A,Louisiana,2,,0,,Evangeline Louisiana,22039,33984,250
Natchitoches,0,#N/A,Louisiana,2,2,0,,Natchitoches Louisiana,22069,39566,208
Allen,0,#N/A,Louisiana,2,2,0,,Allen Louisiana,22003,25764,76
Claiborne,0,#N/A,Louisiana,2,1,0,,Claiborne Louisiana,22027,17195,0
Bienville,0,#N/A,Louisiana,1,,0,,Bienville Louisiana,22013,14353,21
Beauregard,0,#N/A,Louisiana,1,,0,,Beauregard Louisiana,22011,35654,80
St. Mary,0,#N/A,Louisiana,1,,0,,St. Mary Louisiana,22101,54650,187
Avoyelles,0,#N/A,Louisiana,1,,0,,Avoyelles Louisiana,22009,42073,55
Grant,0,#N/A,Louisiana,1,1,0,,Grant Louisiana,22043,22309,0
Catahoula,0,#N/A,Louisiana,1,,1,1,Catahoula Louisiana,22025,10407,0
Acadia,0,#N/A,Louisiana,1,,0,,Acadia Louisiana,22001,61773,41
Assumption,0,#N/A,Louisiana,1,,0,,Assumption Louisiana,22007,23421,6
category Georgia,1,#N/A,Georgia,803,179,26,1,category Georgia Georgia,#N/A,#N/A,#N/A
Fulton,0,#N/A,Georgia,152,41,2,,Fulton Georgia,13121,920581,4353
Cobb,0,#N/A,Georgia,79,12,2,,Cobb Georgia,13067,688078,1099
DeKalb,0,#N/A,Georgia,74,21,0,,DeKalb Georgia,13089,691893,2436
Dougherty,0,#N/A,Georgia,69,17,6,,Dougherty Georgia,13095,94565,939
Bartow,0,#N/A,Georgia,61,5,1,,Bartow Georgia,13015,100157,80
Unassigned,2,#N/A,Georgia,46,18,11,1,Unassigned Georgia,#N/A,#N/A,#N/A
Gwinnett,0,#N/A,Georgia,35,8,1,,Gwinnett Georgia,13135,805321,847
Cherokee,0,#N/A,Georgia,24,6,0,,Cherokee Georgia,13057,214346,79
Carroll,0,#N/A,Georgia,21,5,0,,Carroll Georgia,13045,110527,303
Clayton,0,#N/A,Georgia,19,6,0,,Clayton Georgia,13063,259424,558
Lee,0,#N/A,Georgia,19,,0,,Lee Georgia,13177,28298,0
Clarke,0,#N/A,Georgia,14,4,0,,Clarke Georgia,13059,116714,574
Fayette,0,#N/A,Georgia,11,2,1,,Fayette Georgia,13113,106567,157
Richmond,0,#N/A,Georgia,11,1,0,,Richmond Georgia,13245,200549,2470
Floyd,0,#N/A,Georgia,10,1,1,,Floyd Georgia,13115,96317,559
Hall,0,#N/A,Georgia,10,1,0,,Hall Georgia,13139,179684,557
Henry,0,#N/A,Georgia,9,2,0,,Henry Georgia,13151,203922,265
Coweta,0,#N/A,Georgia,9,,0,,Coweta Georgia,13077,127317,211
Lowndes,0,#N/A,Georgia,8,,0,,Lowndes Georgia,13185,109233,430
Forsyth,0,#N/A,Georgia,7,2,0,,Forsyth Georgia,13117,175511,187
Douglas,0,#N/A,Georgia,7,3,0,,Douglas Georgia,13097,132403,192
